# t_ode, p_ode
1967.3400,6.1700
1967.5900,6.1022
1967.8400,6.0049
1968.0900,5.8914
1968.3400,5.7623
1968.5900,5.6548
1968.8400,5.5586
1969.0900,5.4640
1969.3400,5.3711
1969.5900,5.2732
1969.8400,5.1634
1970.0900,5.0494
1970.3400,4.9315
1970.5900,4.8343
1970.8400,4.7724
1971.0900,4.7242
1971.3400,4.6894
1971.5900,4.6880
1971.8400,4.7170
1972.0900,4.7680
1972.3400,4.8400
1972.5900,4.9074
1972.8400,4.9488
1973.0900,4.9896
1973.3400,5.0300
1973.5900,5.0695
1973.8400,5.1015
1974.0900,5.1307
1974.3400,5.1572
1974.5900,5.1788
1974.8400,5.1909
1975.0900,5.1979
1975.3400,5.1999
1975.5900,5.1954
1975.8400,5.1817
1976.0900,5.1619
1976.3400,5.1360
1976.5900,5.1169
1976.8400,5.1186
1977.0900,5.1258
1977.3400,5.1383
1977.5900,5.1526
1977.8400,5.1686
1978.0900,5.1876
1978.3400,5.2096
1978.5900,5.2288
1978.8400,5.2416
1979.0900,5.2530
1979.3400,5.2631
1979.5900,5.2719
1979.8400,5.2797
1980.0900,5.2862
1980.3400,5.2916
1980.5900,5.2995
1980.8400,5.3147
1981.0900,5.3323
1981.3400,5.3523
1981.5900,5.3731
1981.8400,5.3927
1982.0900,5.4130
1982.3400,5.4341
1982.5900,5.4481
1982.8400,5.4543
1983.0900,5.4568
1983.3400,5.4559
1983.5900,5.4557
1983.8400,5.4595
1984.0900,5.4634
1984.3400,5.4672
1984.5900,5.4709
1984.8400,5.4743
1985.0900,5.4775
1985.3400,5.4807
1985.5900,5.4837
1985.8400,5.4866
1986.0900,5.4894
1986.3400,5.4921
1986.5900,5.4947
1986.8400,5.4968
1987.0900,5.4987
1987.3400,5.5003
1987.5900,5.5013
1987.8400,5.5009
1988.0900,5.4998
1988.3400,5.4981
1988.5900,5.4758
1988.8400,5.4110
1989.0900,5.3282
1989.3400,5.2281
1989.5900,5.1282
1989.8400,5.0329
1990.0900,4.9322
1990.3400,4.8261
1990.5900,4.7281
1990.8400,4.6397
1991.0900,4.5537
1991.3400,4.4702
1991.5900,4.3976
1991.8400,4.3357
1992.0900,4.2805
1992.3400,4.2316
1992.5900,4.1805
1992.8400,4.1220
1993.0900,4.0632
1993.3400,4.0043
1993.5900,3.9509
1993.8400,3.9063
1994.0900,3.8656
1994.3400,3.8285
1994.5900,3.7951
1994.8400,3.7650
1995.0900,3.7383
1995.3400,3.7148
1995.5900,3.6872
1995.8400,3.6535
1996.0900,3.6183
1996.3400,3.5818
1996.5900,3.5877
1996.8400,3.5787
1997.0900,3.5731
1997.3400,3.5709
1997.5900,3.5708
1997.8400,3.5705
1998.0900,3.5718
1998.3400,3.5748
1998.5900,3.6657
1998.8400,3.7012
1999.0900,3.7380
1999.3400,3.7760
1999.5900,3.8145
1999.8400,3.8498
2000.0900,3.8847
2000.3400,3.9192
2000.5900,3.9516
2000.8400,3.9767
2001.0900,3.9990
2001.3400,4.0184
2001.5900,4.0352
2001.8400,4.0555
2002.0900,4.0752
2002.3400,4.0944
2002.5900,4.1138
2002.8400,4.1361
2003.0900,4.1592
2003.3400,4.1830
2003.5900,4.2060
2003.8400,4.2250
2004.0900,4.2429
2004.3400,4.2598
2004.5900,4.2760
2004.8400,4.2959
2005.0900,4.3165
2005.3400,4.3376
2005.5900,4.3558
2005.8400,4.3681
2006.0900,4.3782
2006.3400,4.3861
2006.5900,4.3930
2006.8400,4.4052
2007.0900,4.4180
2007.3400,4.4314
2007.5900,4.4407
2007.8400,4.4420
2008.0900,4.4401
2008.3400,4.4352
2008.5900,4.4279
2008.8400,4.4212
2009.0900,4.4129
2009.3400,4.4032
2009.5900,4.3955
2009.8400,4.3946
2010.0900,4.3957
2010.3400,4.3988
2010.5900,4.4035
2010.8400,4.4090
2011.0900,4.4157
2011.3400,4.4238
2011.5900,4.4336
2011.8400,4.4458
2012.0900,4.4597
2012.3400,4.4751
2012.5900,4.4900
2012.8400,4.5018
2013.0900,4.5133
2013.3400,4.5243
2013.5900,4.5365
2013.8400,4.5520
2014.0900,4.5686
2014.3400,4.5862
2014.5900,4.6016
2014.8400,4.6108
2015.0900,4.6182
2015.3400,4.6236
2015.5900,4.6275
2015.8400,4.6334
2016.0900,4.6389
2016.3400,4.6439
2016.5900,4.6493
2016.8400,4.6558
2017.0900,4.6625
2017.3400,4.6695
2017.5900,4.6764
2017.8400,4.6831
2018.0900,4.6897
2018.3400,4.6964
2018.5900,4.7025
